system_time, x, y, z 
68.998,0.0507819,-0.155843,-0.0803554
69.119,0.0502876,-0.132043,-0.0812038
69.236,0.0500602,-0.107266,-0.0794868
69.35,0.0505701,-0.0826117,-0.0767842
69.464,0.0512842,-0.0594742,-0.0747878
69.584,0.0512263,-0.0375209,-0.0725475
69.699,0.0512745,-0.0203066,-0.0696722
69.814,0.0512637,-0.00737778,-0.0666039
69.928,0.0512609,0.00122333,-0.0648208
70.045,0.0512944,0.00453882,-0.0644957
70.161,0.0512708,0.00134008,-0.0664464
70.277,0.0508281,-0.00646203,-0.0686156
70.395,0.0495053,-0.01718,-0.0713842
70.508,0.0469309,-0.0275635,-0.0733908
70.626,0.0427655,-0.0377857,-0.0747725
70.744,0.0383607,-0.0485849,-0.0760476
71.623,0.0187231,-0.0872801,-0.0783285
71.738,0.0147613,-0.0898854,-0.0798525
71.855,0.0117954,-0.0912582,-0.0800049
71.973,0.00986208,-0.0916222,-0.0779374
72.088,0.00807211,-0.0913005,-0.0758342
72.204,0.0065274,-0.0904163,-0.0733247
72.322,0.00572244,-0.0891371,-0.0719785
72.439,0.00534913,-0.0874658,-0.0721258
72.557,0.00480167,-0.0853334,-0.0733603
72.674,0.00379815,-0.0827955,-0.0737413
72.796,0.00249569,-0.0800962,-0.0727812
72.911,0.00158771,-0.0780576,-0.0718972
73.031,0.000669996,-0.0761046,-0.0715975
73.148,-0.000342132,-0.073705,-0.0716331
73.268,-0.00116448,-0.069638,-0.0720903
73.387,-0.00176555,-0.0634677,-0.0732485
73.503,-0.00204814,-0.0551418,-0.0754431
73.623,-0.00161434,-0.0443561,-0.0792531
73.74,-0.000254339,-0.032754,-0.0841604
73.859,0.00211267,-0.020472,-0.0902919
73.975,0.00378865,-0.00852646,-0.0958545
74.092,0.00293409,0.00351869,-0.0992835
74.211,0.000341495,0.0147479,-0.0997153
74.329,-0.00288349,0.0242764,-0.0970432
74.447,-0.00607562,0.0322464,-0.0940664
74.564,-0.00854626,0.0383654,-0.0904596
74.683,-0.0102149,0.0430555,-0.0870509
74.805,-0.0111683,0.0468798,-0.0847547
74.926,-0.0116079,0.050025,-0.0839622
75.047,-0.0117274,0.0528102,-0.084897
75.165,-0.0116236,0.0556941,-0.0866445
75.282,-0.0111301,0.0591549,-0.0886968
75.402,-0.0100453,0.0633325,-0.0915619
75.522,-0.0090359,0.068005,-0.0950976
